ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
BSh	58	0.200401996913675	0	0.886813909692968	0.0133091349062311	5
BSk	58	0.441403409945428	0	0.842266946332049	0.0211736237144586	5
BWh	58	0.0236122366042363	0	0.849645339693155	0.00665456745311555	5
BWk	58	0.031186577565852		0.724008160182143	0.00241984271022384	5
Cfa	58	0.181173335218204	0.27906976744186	0.685396892675321	0.0205686630369026	5
Cfb	58	0.235147290429448	0.260869565217391	0.753061956646787	0.0302480338777979	5
Csa	58	0.126242979926326	0	0.849863793128032	0.00846944948578343	5
Csb	58	0.461993693829741	0.136363636363636	0.859793934528272	0.0223835450695705	5
Cwb	58	0.207653641420756	0.290322580645161	0.79594467480675	0.0163339382940109	5
Dfa	58	0.177964904906954	0.3	0.788496155683083	0.0175438596491228	5
Dfb	58	0.57406530561829	0.111111111111111	0.817946385752679	0.0223835450695705	5
Dfc	58	0.509534588217329	0.24	0.779250820511211	0.0235934664246824	5
Dwb	58	0.248597428795913	0.103448275862069	0.854518028220578	0.0181488203266788	5
Dwc	58	0.142900633319387	0.111111111111111	0.847958492786259	0.0187537810042347	5
EF	58	0.324847367517787	0.15	0.869935546648817	0.0223835450695705	5
ET	58	0.273935573509947	0.0967741935483871	0.83742855175394	0.0187537810042347	5
Af	58	0.156706457738538	0.0714285714285714	0.746798891821811	0.0193587416817907	6
Am	58	0.333365985731249	0.13953488372093	0.846675985248196	0.0223835450695705	6
Aw	58	0.309369931025587	0.132352941176471	0.783258323739645	0.0254083484573503	6
BSh	58	0.275064107447937	0.0882352941176471	0.799805691362483	0.0181488203266788	6
BSk	58	0.262905500590257	0.243243243243243	0.835046091206041	0.0217785843920145	6
BWh	58	0.0187627926250865	0	0.791461394051	0.00483968542044767	6
BWk	58	0.0164188059005365	0	0.736115529707047	0.00423472474289171	6
Cfa	58	0.203239553168458	0.225	0.745927523701137	0.0229885057471264	6
Cfb	58	0.182854475086282	0	0.88095173239369	0.0163339382940109	6
Csa	58	0.178040501132154	0	0.834669704139029	0.0102843315184513	6
Csb	58	0.4187558201158	0.1	0.83907227435664	0.0181488203266788	6
Cwb	58	0.194169807496652	0	0.808276135524728	0.0139140955837871	6
Dfa	58	0.300348880839537	0.142857142857143	0.765519840195453	0.0187537810042347	6
Dfb	58	0.240821461989636	0.166666666666667	0.860836609207373	0.015124016938899	6
Dfc	58	0.225510723959726	0.113207547169811	0.840769086072348	0.0260133091349062	6
Dwb	58	0.283242323202663	0.15	0.908499525978173	0.0169388989715669	6
Dwc	58	0.142970873579061	0.15	0.873475410265133	0.015124016938899	6
EF	58	0.65455044640742	0.130434782608696	0.798239231915211	0.0235934664246824	6
ET	58	0.383019911142042	0.0576923076923077	0.795147155237967	0.0235934664246824	6
Af	58	0.232176834585333	0.176470588235294	0.773468867601176	0.0211736237144586	7
Am	58	0.423472505827712	0.176470588235294	0.779577835484758	0.0181488203266788	7
Aw	58	0.209317922505647	0.15	0.693567140764601	0.0187537810042347	7
BSh	58	0.324384131776675	0.222222222222222	0.84384864886125	0.0163339382940109	7
