"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Class","actinobacteria","ellin6529",1,919,17,12191,0.369855494936268,0.453423903324339
"Af","Class","actinobacteria","gammaproteobacteria",3,919,44,12164,0.425110453719659,0.503070006574318
"Af","Class","actinobacteria","gemmatimonadetes",2,919,28,12180,0.353514456470105,0.4383558220833
"Af","Class","actinobacteria","nitrospira",3,919,11,12197,0.00685604972322751,0.0346650710999398
"Af","Class","actinobacteria","pedosphaerae",1,919,11,12197,0.198579070773887,0.286498394500056
"Af","Class","actinobacteria","phycisphaerae",1,919,9,12199,0.143282073389067,0.228516467251839
"Af","Class","actinobacteria","planctomycetia",3,919,39,12169,0.337659691894964,0.423325441482156
"Af","Class","actinobacteria","saprospirae",4,919,40,12168,0.179572521525388,0.266589357140889
"Af","Class","actinobacteria","solibacteres",2,919,38,12170,0.553062533259579,0.616577239273003
"Af","Class","actinobacteria","sphingobacteriia",2,919,17,12191,0.131419659428273,0.214254434279813
"Af","Class","actinobacteria","thermoleophilia",7,919,85,12123,0.308572929157568,0.395769541868332
"Af","Class","actinobacteria","zetaproteobacteria",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","alphaproteobacteria","alphaproteobacteria",33,919,477,11731,0.658018345231879,0.706600294957155
"Af","Class","alphaproteobacteria","bacilli",1,919,28,12180,0.633793513850046,0.685213139402515
"Af","Class","alphaproteobacteria","betaproteobacteria",17,919,270,11938,0.739183701003839,0.776988959344894
"Af","Class","alphaproteobacteria","c6",1,919,19,12189,0.424406653139894,0.502522561237178
"Af","Class","alphaproteobacteria","chloracidobacteria",21,919,197,12011,0.0403524881595714,0.101063431050394
"Af","Class","alphaproteobacteria","chloroplast",2,919,19,12189,0.168015384952526,0.255331914331574
"Af","Class","alphaproteobacteria","clostridia",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","alphaproteobacteria","cytophagia",5,919,36,12172,0.0500435878905625,0.113240092717879
"Af","Class","alphaproteobacteria","da052",1,919,13,12195,0.25585121894103,0.345138241931781
"Af","Class","alphaproteobacteria","deltaproteobacteria",18,919,263,11945,0.609172388661589,0.664334295617074
"Af","Class","alphaproteobacteria","ellin6529",6,919,58,12150,0.14372108590038,0.229128939243189
"Af","Class","alphaproteobacteria","fimbriimonadia",2,919,11,12197,0.0444437087105681,0.106973335680933
"Af","Class","alphaproteobacteria","flavobacteriia",3,919,20,12188,0.0587123663900827,0.126501773912862
"Af","Class","alphaproteobacteria","gammaproteobacteria",20,919,227,11981,0.190539754293517,0.27805258488569
"Af","Class","alphaproteobacteria","gemmatimonadetes",10,919,116,12092,0.256178378687676,0.345523645894658
"Af","Class","alphaproteobacteria","methylacidiphilae",1,919,10,12198,0.170554459489647,0.255992951893151
"Af","Class","alphaproteobacteria","nitrospira",8,919,61,12147,0.0377870985716273,0.0963492976888304
"Af","Class","alphaproteobacteria","opitutae",2,919,39,12169,0.571012770039963,0.631612498326428
"Af","Class","alphaproteobacteria","pauc37f",5,919,29,12179,0.0190244415278416,0.063905560537296
"Af","Class","alphaproteobacteria","pedosphaerae",7,919,106,12102,0.550141576600631,0.614306947060985
"Af","Class","alphaproteobacteria","phycisphaerae",2,919,32,12176,0.436873882195482,0.51349641176478
"Af","Class","alphaproteobacteria","planctomycetia",8,919,143,12065,0.758217765328171,0.793344238072188
"Af","Class","alphaproteobacteria","rb25",1,919,15,12193,0.313367318124383,0.399358242870038
"Af","Class","alphaproteobacteria","saprospirae",18,919,212,11996,0.245942767695857,0.335199678595956
"Af","Class","alphaproteobacteria","solibacteres",12,919,201,12007,0.75509544708598,0.790523893727097
"Af","Class","alphaproteobacteria","spartobacteria",5,919,66,12142,0.378126651823739,0.459709338628598
"Af","Class","alphaproteobacteria","sphingobacteriia",4,919,91,12117,0.824666528370991,0.848647385002635
"Af","Class","alphaproteobacteria","sva0725",2,919,10,12198,0.034192528986748,0.0896848585375022
"Af","Class","alphaproteobacteria","thermoleophilia",10,919,143,12065,0.515921475961531,0.584083940874093
"Af","Class","alphaproteobacteria","tk10",2,919,22,12186,0.227386424234143,0.316314214583099
