ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
Dfc	114	0.327752764406507	0.167381974248927	0.861362718555358	0.0187859028101227	6
Dwb	114	0.394499608468562	0.14018691588785	0.904820524315167	0.0130414531904984	6
Dwc	114	0.578223560871169	0.152777777777778	0.808495187239171	0.0178543704393728	6
EF	114	0.381758431705786	0.195530726256983	0.790179685981361	0.0273249495419966	6
ET	114	0.361310879442565	0.178294573643411	0.801866856320139	0.0220462661077472	6
Af	114	0.280155168248476	0.220253164556962	0.80230068910986	0.0228225430833722	7
Am	114	0.351753895744648	0.110367892976589	0.829951527786951	0.0203384567613725	7
Aw	114	0.257095167359279	0.0535714285714286	0.824304725920846	0.0178543704393728	7
BSh	114	1.18651961282474	0.0974025974025974	0.863050498073054	0.0150597733271231	7
BSk	114	0.494458435081028	0.211586901763224	0.808242616310589	0.0223567768979972	7
BWh	114	0.62325107653813	0.116883116883117	0.924731508272311	0.0119546654246235	7
BWk	114	0.775727079775647	0.0740740740740741	0.887292819316388	0.0111783884489986	7
Cfa	114	0.245083787710114	0.194945848375451	0.851353389027578	0.0198726905759975	7
Cfb	114	0.244711783448623	0.261792452830189	0.846484510455997	0.0228225430833722	7
Csa	114	0.279392046279365	0.0508474576271187	0.907133383820511	0.00947057910262382	7
Csb	114	0.56121751925982	0.152284263959391	0.852666773765516	0.0175438596491228	7
Cwb	114	0.654794393921127	0.0810810810810811	0.839169593513908	0.0172333488588728	7
Dfa	114	0.258062386253247	0.220338983050847	0.844098890346653	0.0142834963514982	7
Dfb	114	0.518758659487256	0.13125	0.873164031143443	0.015836050302748	7
Dfc	114	0.32437632972425	0.163179916317992	0.872717916581833	0.0186306474149977	7
Dwb	114	0.877763163017394	0.141732283464567	0.884078985627712	0.0138177301661233	7
Dwc	114	0.329717923230844	0.0357142857142857	0.854529859289245	0.015680794907623	7
EF	114	0.490005456881721	0.151260504201681	0.809908267362907	0.0220462661077472	7
ET	114	0.348961539864237	0.148760330578512	0.804680860710801	0.0218910107126223	7
Af	114	0.201061630095932	0.132492113564669	0.801089195485206	0.0206489675516224	8
Am	114	0.515140816232631	0.0865384615384615	0.862385259505554	0.0180096258344978	8
Aw	114	0.380729294944243	0.0941704035874439	0.810639968039508	0.0169228380686229	8
BSh	114	1.19483028234647	0.1171875	0.855916559271687	0.0141282409563732	8
BSk	114	0.33684248536337	0.1125	0.843153711769269	0.0214252445272473	8
BWh	114	0.608688508154194	0.122448979591837	0.915190431251628	0.0130414531904984	8
BWk	114	0.500155411779453	0.151515151515152	0.873869019438284	0.0116441546343735	8
Cfa	114	0.367410900516422	0.191729323308271	0.808793707905672	0.0181648812296227	8
Cfb	114	0.439268847581264	0.145328719723183	0.81982015827459	0.0197174351808725	8
Csa	114	0.342685908808765	0.125	0.89391428958151	0.00776276975624903	8
Csb	114	0.441229242434704	0.150579150579151	0.813132531819442	0.0189411582052476	8
Cwb	114	0.493014725931892	0.0508474576271187	0.917321350228671	0.0128861977953734	8
Dfa	114	0.221545882880923	0.114285714285714	0.874010444778469	0.0110231330538736	8
Dfb	114	0.585531019374655	0.109947643979058	0.872138512205056	0.0176991150442478	8
Dfc	114	0.395146101708581	0.169014084507042	0.799570757915963	0.0190964136003726	8
Dwb	114	1.04421160204514	0.0508474576271187	0.900447861880464	0.0139729855612483	8
Dwc	114	0.468800463097546	0.124423963133641	0.807899160359617	0.0164570718832479	8
EF	114	0.517583664014475	0.0852272727272727	0.784954276987262	0.0229777984784971	8
ET	114	0.493279841747476	0.0786026200873363	0.845855830213539	0.0181648812296227	8
Af	114	0.30456505438545	0.0759493670886076	0.830369522524824	0.0186306474149977	9
Am	114	0.264470641415183	0.0906040268456376	0.810819114116463	0.0203384567613725	9
Aw	114	0.337109907103729	0.142857142857143	0.829681303334846	0.0197174351808725	9
BSh	114	0.4776853681672	0.146341463414634	0.836674636906218	0.0169228380686229	9
BSk	114	0.468510609732833	0.100840336134454	0.865527964385822	0.0192516689954976	9
BWh	114	0.781073963391672	0.130434782608696	0.903492540042757	0.0138177301661233	9
BWk	114	0.303633572057969	0.075	0.941202575049887	0.00869430212699891	9
Cfa	114	0.380463307566052	0.181818181818182	0.832515625549657	0.0153702841173731	9
Cfb	114	0.192054226627082	0.183453237410072	0.795498506359933	0.0187859028101227	9
Csa	114	0.233469703312218	0.0952380952380952	0.925620718771482	0.00947057910262382	9
Csb	114	0.437423705395941	0.0745341614906832	0.859928708295248	0.0150597733271231	9
Cwb	114	0.437792434756979	0.0851063829787234	0.879976992421106	0.0139729855612483	9
Dfa	114	0.254345083698894	0.128834355828221	0.854156131492296	0.0138177301661233	9
Dfb	114	0.563135649804812	0.101123595505618	0.852362851043946	0.0150597733271231	9
Dfc	114	0.222131701756784	0.168367346938776	0.834884820832067	0.0153702841173731	9
Dwb	114	0.309714440256915	0.127118644067797	0.879744134162901	0.0121099208197485	9
Dwc	114	0.670575840902096	0.103448275862069	0.848199030524509	0.0127309424002484	9
EF	114	0.337097767574285	0.191679049034175	0.799930254701719	0.0307405682347462	9
ET	114	0.424555475898581	0.0817120622568093	0.851133329773886	0.0187859028101227	9
Af	114	0.264102677466593	0.159914712153518	0.791818738808885	0.0249961186151219	10
Am	114	0.267482749722128	0.12280701754386	0.809359935408454	0.0220462661077472	10
Aw	114	0.447327797253828	0.0897435897435897	0.836630579694399	0.0184753920198727	10
BSh	114	0.752923303180967	0.0837988826815642	0.870115719701197	0.0167675826734979	10
BSk	114	0.572585874461411	0.133663366336634	0.882296241920776	0.0176991150442478	10
BWh	114	0.66172718508252	0.08	0.922963542282503	0.0121099208197485	10
BWk	114	0.574140771229137	0.0845070422535211	0.916726885524438	0.0105573668684987	10
Cfa	114	0.424769013247439	0.254716981132076	0.849994866481909	0.015836050302748	10
Cfb	114	0.356021912066281	0.15625	0.827236921814866	0.0201832013662475	10
Csa	114	0.237164988875297	0.125	0.896352858502793	0.00807328054649899	10
Csb	114	0.381440966073015	0.0495867768595041	0.861779387624809	0.0178543704393728	10
Cwb	114	0.685784151456444	0.119318181818182	0.873425021486378	0.015836050302748	10
Dfa	114	0.208331677774917	0.135048231511254	0.739773526405314	0.0195621797857476	10
Dfb	114	0.452281495761984	0.117903930131004	0.831091543506722	0.0183201366247477	10
Dfc	114	0.620659060203844	0.194444444444444	0.847449155502967	0.0175438596491228	10
Dwb	114	0.572499593562882	0.0681818181818182	0.874545938085741	0.0135072193758733	10
Dwc	114	0.394439399585216	0.12962962962963	0.816694354951015	0.0142834963514982	10
EF	114	0.38306181995909	0.21264367816092	0.763751514580568	0.0259276509858718	10
ET	114	0.781763128994275	0.12	0.867756864131998	0.0164570718832479	10
Af	114	0.310606007874677	0.126984126984127	0.805603581148667	0.0232883092687471	11
