"level","from","to","No. of climate zones","Climate zones"
"Class","2","8",1,"Cwb"
"Class","2","elusimicrobia",1,"Dwb"
"Class","2","fibrobacteria",1,"Dwc"
"Class","2","flavobacteriia",1,"ET"
"Class","28","planctomycetia",1,"Af"
"Class","28","acidimicrobiia",2,"Af/EF"
"Class","28","5",1,"Am"
"Class","28","leptospirae",1,"Am"
"Class","28","betaproteobacteria",1,"Aw"
"Class","28","chloracidobacteria",1,"Aw"
"Class","28","c6",1,"BSk"
"Class","28","da052",1,"Cfa"
"Class","28","elusimicrobia",1,"Cfa"
"Class","28","cytophagia",1,"Dfa"
"Class","28","gammaproteobacteria",1,"Dfa"
"Class","28","saprospirae",1,"Dfa"
"Class","28","deltaproteobacteria",1,"Dwb"
"Class","28","acidobacteriia",1,"Dwc"
"Class","28","actinobacteria",1,"EF"
"Class","28","alphaproteobacteria",1,"EF"
"Class","28","gemmatimonadetes",1,"EF"
"Class","28","pedosphaerae",1,"EF"
"Class","28","fibrobacteria",1,"ET"
"Class","28","phycisphaerae",1,"ET"
"Class","5","acidobacteria",2,"Am/Dwc"
"Class","5","acidimicrobiia",1,"Cfb"
"Class","5","5",1,"Dfa"
"Class","5","8",1,"Dfb"
"Class","6","6",1,"BWk"
"Class","6","acidobacteria",2,"BWk/ET"
"Class","6","acidimicrobiia",1,"Dwc"
"Class","8","chloracidobacteria",1,"Am"
"Class","8","gemmatimonadetes",1,"Am"
"Class","8","clostridia",1,"Aw"
"Class","8","deltaproteobacteria",1,"BSh"
"Class","8","actinobacteria",1,"BWk"
"Class","8","c6",1,"Cfa"
"Class","8","cytophagia",2,"Cfa/ET"
"Class","8","chthonomonadetes",2,"Csb/ET"
"Class","8","iii1",1,"Cwb"
"Class","8","elusimicrobia",1,"Dfb"
"Class","8","fibrobacteria",1,"Dfc"
"Class","8","acidimicrobiia",1,"ET"
"Class","8","betaproteobacteria",1,"ET"
"Class","acidimicrobiia","planctomycetia",3,"Af/Aw/Dwb"
"Class","acidimicrobiia","fibrobacteria",2,"Af/ET"
"Class","acidimicrobiia","chloroflexi",1,"Am"
"Class","acidimicrobiia","deltaproteobacteria",1,"Am"
"Class","acidimicrobiia","c6",2,"Am/BSh"
"Class","acidimicrobiia","sm2f11",1,"Aw"
"Class","acidimicrobiia","pla4",2,"Aw/Dwb"
"Class","acidimicrobiia","da052",1,"BSh"
"Class","acidimicrobiia","s085",2,"BSh/Dfb"
"Class","acidimicrobiia","elusimicrobia",1,"BSk"
"Class","acidimicrobiia","flavobacteriia",1,"BSk"
"Class","acidimicrobiia","opitutae",1,"BWh"
"Class","acidimicrobiia","nitrospira",1,"BWk"
"Class","acidimicrobiia","anaerolineae",1,"Cfa"
"Class","acidimicrobiia","pauc37f",2,"Cfa/EF"
"Class","acidimicrobiia","om190",1,"Csa"
"Class","acidimicrobiia","acidimicrobiia",1,"Csb"
"Class","acidimicrobiia","zetaproteobacteria",1,"Csb"
"Class","acidimicrobiia","rb25",2,"Csb/Dwb"
"Class","acidimicrobiia","gammaproteobacteria",1,"Cwb"
"Class","acidimicrobiia","bacilli",1,"Dwb"
"Class","acidimicrobiia","fimbriimonadia",1,"Dwb"
"Class","acidimicrobiia","sva0725",1,"Dwb"
"Class","acidimicrobiia","vadinha49",1,"Dwb"
"Class","acidimicrobiia","actinobacteria",1,"Dwc"
"Class","acidimicrobiia","acidobacteriia",1,"EF"
"Class","acidimicrobiia","alphaproteobacteria",1,"EF"
"Class","acidimicrobiia","thermoleophilia",1,"EF"
"Class","acidimicrobiia","solibacteres",2,"EF/ET"
"Class","acidimicrobiia","leptospirae",1,"ET"
"Class","acidobacteriia","alphaproteobacteria",1,"Af"
"Class","acidobacteriia","clostridia",1,"Af"
"Class","acidobacteriia","bacilli",2,"Af/EF"
"Class","acidobacteriia","vadinha49",2,"Af/ET"
"Class","acidobacteriia","flavobacteriia",1,"Am"
"Class","acidobacteriia","om190",1,"Am"
"Class","acidobacteriia","zetaproteobacteria",1,"BSh"
"Class","acidobacteriia","pedosphaerae",1,"Cfa"
"Class","acidobacteriia","acidobacteriia",2,"Cfa/Dfa"
"Class","acidobacteriia","solibacteres",3,"Cfa/Dfa/EF"
"Class","acidobacteriia","pla4",2,"Cfb/Dfa"
"Class","acidobacteriia","saprospirae",2,"Cfb/Dfa"
"Class","acidobacteriia","thermoleophilia",2,"Cfb/EF"
"Class","acidobacteriia","opitutae",1,"Csa"
"Class","acidobacteriia","anaerolineae",2,"Csb/Dwc"
"Class","acidobacteriia","fimbriimonadia",2,"Cwb/Dwc"
"Class","acidobacteriia","planctomycetia",1,"Dfa"
"Class","acidobacteriia","spartobacteria",1,"Dfa"
"Class","acidobacteriia","tm1",1,"Dfa"
"Class","acidobacteriia","phycisphaerae",2,"Dfa/Dfc"
"Class","acidobacteriia","sm2f11",1,"Dfb"
"Class","acidobacteriia","actinobacteria",1,"Dfc"
"Class","acidobacteriia","betaproteobacteria",1,"Dwb"
"Class","acidobacteriia","chthonomonadetes",1,"Dwb"
"Class","acidobacteriia","nitrospira",1,"Dwc"
"Class","acidobacteriia","rb25",2,"EF/ET"
"Class","actinobacteria","fimbriimonadia",1,"Af"
"Class","actinobacteria","tm1",1,"Af"
"Class","actinobacteria","betaproteobacteria",1,"Am"
"Class","actinobacteria","anaerolineae",1,"Aw"
"Class","actinobacteria","solibacteres",1,"Aw"
"Class","actinobacteria","leptospirae",2,"Aw/Dfb"
"Class","actinobacteria","pla4",2,"Aw/Dfb"
"Class","actinobacteria","alphaproteobacteria",1,"BSh"
"Class","actinobacteria","c6",1,"BSh"
"Class","actinobacteria","chthonomonadetes",1,"BSh"
"Class","actinobacteria","s085",2,"BSh/BWk"
"Class","actinobacteria","planctomycetia",1,"BSk"
"Class","actinobacteria","sphingobacteriia",1,"BSk"
"Class","actinobacteria","sva0725",1,"BSk"
"Class","actinobacteria","tk10",1,"BSk"
"Class","actinobacteria","deltaproteobacteria",2,"BSk/BWh"
"Class","actinobacteria","spartobacteria",2,"BSk/BWk"
"Class","actinobacteria","bacilli",2,"BSk/Csa"
"Class","actinobacteria","elusimicrobia",1,"BWh"
"Class","actinobacteria","opitutae",3,"BWh/BWk/ET"
"Class","actinobacteria","cytophagia",2,"BWh/Csa"
"Class","actinobacteria","verrucomicrobiae",1,"BWk"
"Class","actinobacteria","gammaproteobacteria",2,"BWk/Csa"
"Class","actinobacteria","phycisphaerae",1,"Cfb"
"Class","actinobacteria","rb25",2,"Cfb/EF"
"Class","actinobacteria","thermoleophilia",2,"Csa/Dwc"
"Class","actinobacteria","fibrobacteria",1,"Csb"
"Class","actinobacteria","ellin6529",2,"Cwb/Dfa"
"Class","actinobacteria","zetaproteobacteria",1,"Dfa"
"Class","actinobacteria","actinobacteria",2,"Dfa/Dwc"
"Class","actinobacteria","methylacidiphilae",1,"Dfc"
"Class","actinobacteria","pauc37f",1,"Dwb"
"Class","actinobacteria","chloroflexi",1,"Dwc"
"Class","actinobacteria","saprospirae",1,"EF"
"Class","actinobacteria","sm2f11",1,"ET"
"Class","alphaproteobacteria","om190",2,"Am/Dfa"
"Class","alphaproteobacteria","gammaproteobacteria",2,"Aw/Dfa"
"Class","alphaproteobacteria","bacilli",1,"BSh"
"Class","alphaproteobacteria","chthonomonadetes",1,"BSh"
"Class","alphaproteobacteria","chloroflexi",2,"BSh/Cwb"
"Class","alphaproteobacteria","anaerolineae",1,"BSk"
"Class","alphaproteobacteria","chloracidobacteria",1,"BSk"
"Class","alphaproteobacteria","leptospirae",1,"BSk"
"Class","alphaproteobacteria","phycisphaerae",1,"BWh"
"Class","alphaproteobacteria","cytophagia",1,"Cfa"
"Class","alphaproteobacteria","rb25",1,"Cfa"
"Class","alphaproteobacteria","da052",1,"Cfb"
