"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1100,3,0.257069,1.8e-05,0.994542
1101,1,0.257303,6e-06,0.994548
1102,1,0.257537,6e-06,0.994554
1103,2,0.257771,1.2e-05,0.994566
1104,3,0.258004,1.8e-05,0.994584
1105,1,0.258238,6e-06,0.99459
1106,1,0.258472,6e-06,0.994596
1108,3,0.258939,1.8e-05,0.994614
1109,2,0.259173,1.2e-05,0.994626
1110,1,0.259406,6e-06,0.994632
1111,2,0.25964,1.2e-05,0.994644
1112,1,0.259874,6e-06,0.99465
1113,4,0.260108,2.4e-05,0.994674
1114,3,0.260341,1.8e-05,0.994692
1117,2,0.261042,1.2e-05,0.994704
1118,5,0.261276,2.9e-05,0.994733
1120,3,0.261743,1.8e-05,0.994751
1121,2,0.261977,1.2e-05,0.994763
1122,1,0.262211,6e-06,0.994769
1124,1,0.262678,6e-06,0.994775
1125,2,0.262912,1.2e-05,0.994787
1126,3,0.263146,1.8e-05,0.994805
1127,4,0.263379,2.4e-05,0.994829
1128,1,0.263613,6e-06,0.994835
1129,3,0.263847,1.8e-05,0.994853
1130,2,0.26408,1.2e-05,0.994865
1132,5,0.264548,2.9e-05,0.994894
1133,4,0.264781,2.4e-05,0.994918
1134,2,0.265015,1.2e-05,0.99493
1136,5,0.265483,2.9e-05,0.994959
1137,2,0.265716,1.2e-05,0.994971
1138,1,0.26595,6e-06,0.994977
1139,1,0.266184,6e-06,0.994983
1140,2,0.266417,1.2e-05,0.994995
1141,2,0.266651,1.2e-05,0.995007
1142,2,0.266885,1.2e-05,0.995019
1143,3,0.267118,1.8e-05,0.995037
1144,1,0.267352,6e-06,0.995043
1145,2,0.267586,1.2e-05,0.995055
1146,2,0.26782,1.2e-05,0.995067
1147,2,0.268053,1.2e-05,0.995079
1148,4,0.268287,2.4e-05,0.995103
1149,2,0.268521,1.2e-05,0.995115
1150,3,0.268754,1.8e-05,0.995133
1151,2,0.268988,1.2e-05,0.995145
1152,1,0.269222,6e-06,0.995151
1153,2,0.269455,1.2e-05,0.995163
1154,1,0.269689,6e-06,0.995169
1155,1,0.269923,6e-06,0.995175
1156,2,0.270157,1.2e-05,0.995187
1157,1,0.27039,6e-06,0.995193
1158,1,0.270624,6e-06,0.995199
1159,1,0.270858,6e-06,0.995205
1160,1,0.271091,6e-06,0.995211
1161,3,0.271325,1.8e-05,0.995229
1163,2,0.271792,1.2e-05,0.995241
1165,3,0.27226,1.8e-05,0.995259
1166,2,0.272494,1.2e-05,0.995271
1167,1,0.272727,6e-06,0.995277
1168,3,0.272961,1.8e-05,0.995295
1169,1,0.273195,6e-06,0.995301
1170,2,0.273428,1.2e-05,0.995313
1171,1,0.273662,6e-06,0.995319
1173,1,0.274129,6e-06,0.995325
1174,1,0.274363,6e-06,0.995331
1175,2,0.274597,1.2e-05,0.995343
1176,2,0.274831,1.2e-05,0.995355
1177,1,0.275064,6e-06,0.995361
1178,2,0.275298,1.2e-05,0.995373
1179,1,0.275532,6e-06,0.995379
1181,2,0.275999,1.2e-05,0.995391
1182,4,0.276233,2.4e-05,0.995415
1183,2,0.276466,1.2e-05,0.995427
1184,3,0.2767,1.8e-05,0.995445
1185,1,0.276934,6e-06,0.995451
1186,1,0.277168,6e-06,0.995457
1187,2,0.277401,1.2e-05,0.995469
1188,2,0.277635,1.2e-05,0.995481
1189,2,0.277869,1.2e-05,0.995493
1190,2,0.278102,1.2e-05,0.995505
1192,1,0.27857,6e-06,0.995511
1193,2,0.278803,1.2e-05,0.995523
1194,1,0.279037,6e-06,0.995529
1195,2,0.279271,1.2e-05,0.995541
1196,2,0.279505,1.2e-05,0.995553
1197,2,0.279738,1.2e-05,0.995565
1199,1,0.280206,6e-06,0.995571
1200,1,0.280439,6e-06,0.995577
1202,1,0.280907,6e-06,0.995583
1204,1,0.281374,6e-06,0.995589
1205,1,0.281608,6e-06,0.995595
1206,2,0.281842,1.2e-05,0.995607
1207,2,0.282075,1.2e-05,0.995619
1208,2,0.282309,1.2e-05,0.995631
1209,1,0.282543,6e-06,0.995637
1211,3,0.28301,1.8e-05,0.995655
1212,1,0.283244,6e-06,0.995661
1214,1,0.283711,6e-06,0.995667
1215,3,0.283945,1.8e-05,0.995685
1216,3,0.284179,1.8e-05,0.995703
1217,1,0.284412,6e-06,0.995709
1218,1,0.284646,6e-06,0.995715
1220,1,0.285113,6e-06,0.995721
1221,2,0.285347,1.2e-05,0.995733
1222,5,0.285581,2.9e-05,0.995762
1223,1,0.285814,6e-06,0.995768
1227,1,0.286749,6e-06,0.995774
1228,3,0.286983,1.8e-05,0.995792
1231,2,0.287684,1.2e-05,0.995804
1234,1,0.288385,6e-06,0.99581
1235,1,0.288619,6e-06,0.995816
1236,1,0.288853,6e-06,0.995822
1238,2,0.28932,1.2e-05,0.995834
1240,1,0.289787,6e-06,0.99584
1244,3,0.290722,1.8e-05,0.995858
1245,2,0.290956,1.2e-05,0.99587
1247,4,0.291423,2.4e-05,0.995894
1248,2,0.291657,1.2e-05,0.995906
1250,1,0.292124,6e-06,0.995912
1251,4,0.292358,2.4e-05,0.995936
1253,5,0.292825,2.9e-05,0.995965
1254,2,0.293059,1.2e-05,0.995977
1256,2,0.293527,1.2e-05,0.995989
1257,1,0.29376,6e-06,0.995995
1258,1,0.293994,6e-06,0.996001
1259,1,0.294228,6e-06,0.996007
1260,4,0.294461,2.4e-05,0.996031
1261,2,0.294695,1.2e-05,0.996043
1263,1,0.295162,6e-06,0.996049
1264,2,0.295396,1.2e-05,0.996061
1266,2,0.295864,1.2e-05,0.996073
1267,1,0.296097,6e-06,0.996079
1268,4,0.296331,2.4e-05,0.996103
1270,2,0.296798,1.2e-05,0.996115
1271,1,0.297032,6e-06,0.996121
1272,2,0.297266,1.2e-05,0.996133
1273,3,0.297499,1.8e-05,0.996151
1275,1,0.297967,6e-06,0.996157
1276,3,0.298201,1.8e-05,0.996175
1278,2,0.298668,1.2e-05,0.996187
1280,1,0.299135,6e-06,0.996193
1283,1,0.299836,6e-06,0.996199
1284,2,0.30007,1.2e-05,0.996211
1285,3,0.300304,1.8e-05,0.996229
1287,5,0.300771,2.9e-05,0.996258
1288,1,0.301005,6e-06,0.996264
1290,2,0.301472,1.2e-05,0.996276
1291,2,0.301706,1.2e-05,0.996288
1292,2,0.30194,1.2e-05,0.9963
1294,1,0.302407,6e-06,0.996306
1297,3,0.303108,1.8e-05,0.996324
1298,1,0.303342,6e-06,0.99633
1299,2,0.303576,1.2e-05,0.996342
1300,2,0.303809,1.2e-05,0.996354
