"ClimateZone","level","from","to","N","Freq","cumsum Freq"
"Af","Class","gemmatimonadetes","planctomycetia",17,0.00405921680993314,0.41738299904489
"Af","Class","actinobacteria","actinobacteria",17,0.00405921680993314,0.421442215854823
"Af","Class","sphingobacteriia","unassigned",17,0.00405921680993314,0.425501432664756
"Af","Class","betaproteobacteria","chloracidobacteria",17,0.00405921680993314,0.42956064947469
"Af","Class","acidobacteriia","deltaproteobacteria",17,0.00405921680993314,0.433619866284623
"Af","Class","betaproteobacteria","thermoleophilia",17,0.00405921680993314,0.437679083094556
"Af","Class","actinobacteria","gemmatimonadetes",17,0.00405921680993314,0.441738299904489
"Af","Class","unassigned","unassigned",16,0.00382043935052531,0.445558739255014
"Af","Class","acidimicrobiia","actinobacteria",16,0.00382043935052531,0.44937917860554
"Af","Class","acidimicrobiia","unassigned",16,0.00382043935052531,0.453199617956065
"Af","Class","planctomycetia","sphingobacteriia",16,0.00382043935052531,0.45702005730659
"Af","Class","chloracidobacteria","planctomycetia",16,0.00382043935052531,0.460840496657116
"Af","Class","deltaproteobacteria","phycisphaerae",16,0.00382043935052531,0.464660936007641
"Af","Class","betaproteobacteria","gammaproteobacteria",16,0.00382043935052531,0.468481375358166
"Af","Class","alphaproteobacteria","phycisphaerae",16,0.00382043935052531,0.472301814708692
"Af","Class","acidimicrobiia","thermoleophilia",15,0.00358166189111748,0.475883476599809
"Af","Class","chloracidobacteria","thermoleophilia",15,0.00358166189111748,0.479465138490926
"Af","Class","ellin6529","planctomycetia",15,0.00358166189111748,0.483046800382044
"Af","Class","solibacteres","unassigned",15,0.00358166189111748,0.486628462273161
"Af","Class","chloracidobacteria","gemmatimonadetes",15,0.00358166189111748,0.490210124164279
"Af","Class","deltaproteobacteria","solibacteres",15,0.00358166189111748,0.493791786055396
"Af","Class","betaproteobacteria","saprospirae",14,0.00334288443170965,0.497134670487106
"Af","Class","12","deltaproteobacteria",14,0.00334288443170965,0.500477554918816
"Af","Class","chloracidobacteria","chloracidobacteria",14,0.00334288443170965,0.503820439350525
"Af","Class","6","6",14,0.00334288443170965,0.507163323782235
"Af","Class","alphaproteobacteria","tk10",14,0.00334288443170965,0.510506208213945
"Af","Class","deltaproteobacteria","elusimicrobia",13,0.00310410697230182,0.513610315186246
"Af","Class","elusimicrobia","planctomycetia",13,0.00310410697230182,0.516714422158548
"Af","Class","alphaproteobacteria","nitrospira",13,0.00310410697230182,0.51981852913085
"Af","Class","nitrospira","planctomycetia",13,0.00310410697230182,0.522922636103152
"Af","Class","chloracidobacteria","saprospirae",13,0.00310410697230182,0.526026743075454
