"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Modularity","value","Cfb","Dfb",100,100,5652,0.111,0.114,"ns"
"Modularity","value","Cfb","Dfc",100,100,9721,8.89e-31,1.26e-30,"****"
"Modularity","value","Cfb","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfb","Dwc",100,100,9990,3.46e-34,6.26e-34,"****"
"Modularity","value","Cfb","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Cfb","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Csb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Dfa",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Dfb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Dfc",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Dwb",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","Dwc",100,100,0,2.56e-34,5.27e-34,"****"
"Modularity","value","Csa","EF",100,100,1317,2.3e-19,2.78e-19,"****"
"Modularity","value","Csa","ET",100,100,789,7.99e-25,9.87e-25,"****"
"Modularity","value","Csb","Dfa",100,100,5404,0.324,0.33,"ns"
"Modularity","value","Csb","Dfb",100,100,716,1.23e-25,1.54e-25,"****"
"Modularity","value","Csb","Dfc",100,100,5756,0.065,0.067,"ns"
"Modularity","value","Csb","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Csb","Dwc",100,100,9515,2.72e-28,3.66e-28,"****"
"Modularity","value","Csb","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Csb","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfa","Dfb",100,100,480,2.37e-28,3.23e-28,"****"
"Modularity","value","Dfa","Dfc",100,100,5360,0.38,0.384,"ns"
"Modularity","value","Dfa","Dwb",100,100,9999,2.64e-34,5.29e-34,"****"
"Modularity","value","Dfa","Dwc",100,100,9478,7.4e-28,9.84e-28,"****"
"Modularity","value","Dfa","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfa","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfb","Dfc",100,100,9685,2.46e-30,3.44e-30,"****"
"Modularity","value","Dfb","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfb","Dwc",100,100,9986,3.9e-34,6.82e-34,"****"
"Modularity","value","Dfb","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfb","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfc","Dwb",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfc","Dwc",100,100,9472,8.7e-28,1.14e-27,"****"
